fen,observations,errors_50cp,actual_error_rate_50cp,best_move_hits,actual_best_move_rate,not_best_move_count,actual_not_best_move_rate,stockfish_best_move,gmr,number_of_good_moves,dts_raw,dts_normalized,breadth_inv_n,breadth_inv_sqrt_n,breadth_inv_log_n,complexity_gmr,complexity_dts_inv_n,complexity_dts_inv_sqrt_n,complexity_dts_inv_log_n
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,11798,499,0.042295304288862516,7445,0.6310391591795219,4353,0.36896084082047803,c2c3,0.1794871794871795,7,12.0,0.375,0.14285714285714285,0.3779644730092272,0.3333333333333333,0.8205128205128205,0.2589285714285714,0.3764822365046136,0.35416666666666663
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,9153,65,0.007101496777013001,4243,0.46356385884409484,4910,0.5364361411559052,c1d2,0.22916666666666666,11,20.0,0.875,0.09090909090909091,0.30151134457776363,0.27894294565112987,0.7708333333333334,0.48295454545454547,0.5882556722888819,0.5769714728255649
r1bq1rk1/2p1bppp/p7/1p1nR3/8/1BP5/PP1P1PPP/RNBQ2K1 b - -,8603,53,0.006160641636638382,6413,0.7454376380332443,2190,0.2545623619667558,c7c6,0.16666666666666666,6,22.0,1.0,0.16666666666666666,0.4082482904638631,0.3562071871080222,0.8333333333333334,0.5833333333333334,0.7041241452319316,0.6781035935540111
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2P2N1P/PPBP1PP1/RNBQR1K1 w - c6,7198,261,0.036260072242289526,5898,0.81939427618783,1300,0.18060572381217005,d2d4,0.11538461538461539,3,6.0,0.0,0.3333333333333333,0.5773502691896258,0.5,0.8846153846153846,0.16666666666666666,0.2886751345948129,0.25
r2qkb1r/pp1nppp1/2p2n1p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,6767,366,0.054086005615486925,2356,0.3481601891532437,4411,0.6518398108467564,c1f4,0.20833333333333334,10,6.0,0.0,0.1,0.31622776601683794,0.2890648263178879,0.7916666666666666,0.05,0.15811388300841897,0.14453241315894394
rn1qkb1r/pp3pp1/2p1pn1p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,5406,46,0.008509064002959674,2074,0.3836477987421384,3332,0.6163522012578616,c1d2,0.25,12,6.0,0.0,0.08333333333333333,0.2886751345948129,0.27023815442731974,0.75,0.041666666666666664,0.14433756729740646,0.13511907721365987
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,4772,363,0.07606873428331937,28,0.00586756077116513,4744,0.9941324392288349,c4e2,0.08695652173913043,4,22.0,1.0,0.25,0.5,0.43067655807339306,0.9130434782608696,0.625,0.75,0.7153382790366966
r1bqkb1r/5p1p/p1np4/1p1Npp2/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,3451,231,0.06693711967545639,458,0.13271515502752826,2993,0.8672848449724717,c2c3,0.15,6,22.0,1.0,0.16666666666666666,0.4082482904638631,0.3562071871080222,0.85,0.5833333333333334,0.7041241452319316,0.6781035935540111
r2q1rk1/3nppbp/b2p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,3285,80,0.0243531202435312,842,0.2563165905631659,2443,0.7436834094368341,a1b1,0.4444444444444444,16,22.0,1.0,0.0625,0.25,0.24465054211822604,0.5555555555555556,0.53125,0.625,0.6223252710591131
r4rk1/ppqn1ppp/2pb1n2/3p2B1/3P2b1/2PB1N2/PPQN1PPP/R4RK1 w - -,3297,86,0.026084319077949652,1154,0.3500151653017895,2143,0.6499848346982104,h2h3,0.5476190476190477,23,6.0,0.0,0.043478260869565216,0.20851441405707477,0.21810429198553155,0.45238095238095233,0.021739130434782608,0.10425720702853739,0.10905214599276578
