fen,rating_bucket,rating_midpoint,observations,errors_50cp,actual_error_rate_50cp,best_move_hits,actual_best_move_rate,not_best_move_count,actual_not_best_move_rate,stockfish_best_move,gmr,number_of_good_moves,dts_raw,dts_normalized,breadth_inv_n,breadth_inv_sqrt_n,breadth_inv_log_n,complexity_gmr,complexity_dts_inv_n,complexity_dts_inv_sqrt_n,complexity_dts_inv_log_n
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1400-1599,1500,222,42,0.1891891891891892,96,0.43243243243243246,126,0.5675675675675675,c2c3,0.1794871794871795,7,12.0,0.375,0.14285714285714285,0.3779644730092272,0.3333333333333333,0.8205128205128205,0.2589285714285714,0.3764822365046136,0.35416666666666663
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1600-1799,1700,1450,156,0.10758620689655173,879,0.6062068965517241,571,0.39379310344827584,c2c3,0.1794871794871795,7,12.0,0.375,0.14285714285714285,0.3779644730092272,0.3333333333333333,0.8205128205128205,0.2589285714285714,0.3764822365046136,0.35416666666666663
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1800-1999,1900,4459,200,0.04485310607759587,2904,0.6512671002466921,1555,0.3487328997533079,c2c3,0.1794871794871795,7,12.0,0.375,0.14285714285714285,0.3779644730092272,0.3333333333333333,0.8205128205128205,0.2589285714285714,0.3764822365046136,0.35416666666666663
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,2000-2199,2100,4233,90,0.021261516654854713,2770,0.6543822348216395,1463,0.3456177651783605,c2c3,0.1794871794871795,7,12.0,0.375,0.14285714285714285,0.3779644730092272,0.3333333333333333,0.8205128205128205,0.2589285714285714,0.3764822365046136,0.35416666666666663
r1bqk2r/5ppp/p1np1b2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,2200-2399,2300,1434,11,0.007670850767085077,796,0.5550906555090656,638,0.44490934449093444,c2c3,0.1794871794871795,7,12.0,0.375,0.14285714285714285,0.3779644730092272,0.3333333333333333,0.8205128205128205,0.2589285714285714,0.3764822365046136,0.35416666666666663
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,1400-1599,1500,221,2,0.00904977375565611,58,0.26244343891402716,163,0.7375565610859729,c1d2,0.22916666666666666,11,20.0,0.875,0.09090909090909091,0.30151134457776363,0.27894294565112987,0.7708333333333334,0.48295454545454547,0.5882556722888819,0.5769714728255649
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,1600-1799,1700,1221,17,0.013923013923013924,382,0.31285831285831284,839,0.6871416871416871,c1d2,0.22916666666666666,11,20.0,0.875,0.09090909090909091,0.30151134457776363,0.27894294565112987,0.7708333333333334,0.48295454545454547,0.5882556722888819,0.5769714728255649
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,1800-1999,1900,3475,29,0.008345323741007195,1484,0.4270503597122302,1991,0.5729496402877697,c1d2,0.22916666666666666,11,20.0,0.875,0.09090909090909091,0.30151134457776363,0.27894294565112987,0.7708333333333334,0.48295454545454547,0.5882556722888819,0.5769714728255649
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,2000-2199,2100,3258,17,0.0052179251074278695,1700,0.521792510742787,1558,0.478207489257213,c1d2,0.22916666666666666,11,20.0,0.875,0.09090909090909091,0.30151134457776363,0.27894294565112987,0.7708333333333334,0.48295454545454547,0.5882556722888819,0.5769714728255649
r2qkbnr/pp1n1pp1/2p1p2p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq -,2200-2399,2300,978,0,0.0,619,0.6329243353783232,359,0.3670756646216769,c1d2,0.22916666666666666,11,20.0,0.875,0.09090909090909091,0.30151134457776363,0.27894294565112987,0.7708333333333334,0.48295454545454547,0.5882556722888819,0.5769714728255649
