rating_bucket,rating_midpoint,target,model,n_rows,observations,spearman_rho,linear_intercept,linear_slope,mae,weighted_mae
1400-1599,1500,Next-move error > 50 cp,GMR: 1 - GMR,386,33368,0.42641070470008996,-0.12426721145395139,0.48154473148246446,0.1599110578179,0.15835597407101723
1400-1599,1500,Next-move error > 50 cp,DTS + 1/N,386,33368,0.10823072644231876,0.17636451493086397,0.1460305718064285,0.18548301498516281,0.17935896245538152
1400-1599,1500,Next-move error > 50 cp,DTS + 1/sqrt(N),386,33368,0.11085344468625569,0.16455529441111605,0.13982929883825101,0.18554406044483304,0.17959427220745594
1400-1599,1500,Next-move error > 50 cp,DTS + 1/log2(N+1),386,33368,0.08947992285936077,0.1782723448499576,0.109916398154538,0.18636329199294277,0.17971921811327216
1400-1599,1500,Next-move error > 50 cp,DTS only,386,33368,-0.11298889437399443,0.2545829565449852,-0.08380915161640341,0.18531839619132895,0.17678243446994518
1400-1599,1500,Next-move error > 50 cp,1/N only,386,33368,0.4165458878795161,0.13374746982709754,0.4138095802247183,0.16223611198833485,0.16126375914841423
1400-1599,1500,Next-move error > 50 cp,1/sqrt(N) only,386,33368,0.4165458878795161,0.020979176889513534,0.4915935193404847,0.15778840269510164,0.1573819342921412
1400-1599,1500,Next-move error > 50 cp,1/log2(N+1) only,386,33368,0.4165458878795161,0.0275620216944584,0.5130380656961369,0.16019611693378213,0.15970112870709033
1400-1599,1500,Did not play Stockfish best move,GMR: 1 - GMR,386,33368,-0.3297540623941456,0.9950108781925682,-0.39864277759459316,0.21361490259472243,0.1937320273633665
1400-1599,1500,Did not play Stockfish best move,DTS + 1/N,386,33368,0.21455309339803422,0.6352678424544342,0.24174210792473602,0.2248492353575249,0.21260543960441253
1400-1599,1500,Did not play Stockfish best move,DTS + 1/sqrt(N),386,33368,0.22286761160988644,0.6008607215545766,0.2682767146748635,0.22388678957022234,0.2119275615135675
1400-1599,1500,Did not play Stockfish best move,DTS + 1/log2(N+1),386,33368,0.23543140566128895,0.594136535310608,0.2958645017227469,0.2226412558743782,0.21107069139974297
1400-1599,1500,Did not play Stockfish best move,DTS only,386,33368,0.40110234706430054,0.6086666528843206,0.2509068828370039,0.20795719075328484,0.19505923624754135
1400-1599,1500,Did not play Stockfish best move,1/N only,386,33368,-0.31878442901099724,0.7797160599983652,-0.33450949583286144,0.2153664238276477,0.19163945568142954
1400-1599,1500,Did not play Stockfish best move,1/sqrt(N) only,386,33368,-0.31878442901099724,0.8688396618860889,-0.39238759993743605,0.2131407328154956,0.1890252150724751
1400-1599,1500,Did not play Stockfish best move,1/log2(N+1) only,386,33368,-0.31878442901099724,0.8647784854130789,-0.4126690300253557,0.21429509153834794,0.19055633110313586
1600-1799,1700,Next-move error > 50 cp,GMR: 1 - GMR,491,88454,0.39916060801914943,-0.12179776561162331,0.4143640593498739,0.14280151928319113,0.13749783798345683
1600-1799,1700,Next-move error > 50 cp,DTS + 1/N,491,88454,0.07441152596139117,0.1447275031158937,0.10759862990422886,0.1610315125091037,0.15076983786936485
1600-1799,1700,Next-move error > 50 cp,DTS + 1/sqrt(N),491,88454,0.07135171401028745,0.13913517110589835,0.09560643007391696,0.16121372859866515,0.15086010200310696
