target,model,n_rows,observations,spearman_rho,linear_intercept,linear_slope,mae,weighted_mae
Next-move error > 50 cp,GMR: 1 - GMR,500,402998,0.381315525853254,-0.10819093923689119,0.3582367266033143,0.13099398341780585,0.12698027702106965
Next-move error > 50 cp,DTS + 1/N,500,402998,0.04119171417480689,0.12750160929196547,0.0764143167889306,0.1470531220880234,0.13613929062180383
Next-move error > 50 cp,DTS + 1/sqrt(N),500,402998,0.03858706612630417,0.1251912525616408,0.06388688831204564,0.14720152658744556,0.13626659974025349
Next-move error > 50 cp,DTS + 1/log2(N+1),500,402998,0.018592639816012543,0.13469714670869512,0.04229652240401463,0.1474776040431905,0.13633801821043712
Next-move error > 50 cp,DTS only,500,402998,-0.1575286712140583,0.18705184698979838,-0.08764329303341757,0.14456029548719382,0.1326073575147706
Next-move error > 50 cp,1/N only,500,402998,0.36723697432763364,0.08523922175860618,0.3013293521112262,0.13157236009322348,0.12181648501138395
Next-move error > 50 cp,1/sqrt(N) only,500,402998,0.36723697432763364,0.002044618488286437,0.3601681807780357,0.12910699378944415,0.12049647202905686
Next-move error > 50 cp,1/log2(N+1) only,500,402998,0.36723697432763364,0.007682893399729163,0.37386757809123844,0.13034746795501062,0.12117162534329819
Did not play Stockfish best move,GMR: 1 - GMR,500,402998,-0.352735288942097,0.9924679467408738,-0.4925948249024374,0.24205723396322656,0.24542283602302764
Did not play Stockfish best move,DTS + 1/N,500,402998,0.15936810559945538,0.5699074057822698,0.20945556845821,0.2575014474282872,0.26002059759731116
Did not play Stockfish best move,DTS + 1/sqrt(N),500,402998,0.17603426006330614,0.5319771765805807,0.2520667027174655,0.2565664230979597,0.25936262409056277
Did not play Stockfish best move,DTS + 1/log2(N+1),500,402998,0.1865092981156257,0.5240766642758464,0.28169250263415835,0.25566421436120473,0.25877787812583397
Did not play Stockfish best move,DTS only,500,402998,0.3762965413243486,0.5217396947161392,0.27980944292995835,0.2384273023125479,0.2448920775449898
Did not play Stockfish best move,1/N only,500,402998,-0.35061175682257917,0.7275803983973993,-0.4193037348056072,0.24052606657028497,0.24422772481803312
Did not play Stockfish best move,1/sqrt(N) only,500,402998,-0.35061175682257917,0.8391689548512675,-0.49110565714644416,0.23914029384800703,0.24344226493179247
Did not play Stockfish best move,1/log2(N+1) only,500,402998,-0.35061175682257917,0.8339636804672357,-0.5162429993052216,0.23975501125470408,0.24372201155154155
