fen,side_to_move,rating_bucket,maia_elo,move_uci,observations,wins_for_mover,draws,losses_for_mover,empirical_score,maia_expected_score,stockfish_expected_score,maia_absolute_error,stockfish_absolute_error,maia_signed_error,stockfish_signed_error,retained_probability_mass,leaf_count
1rbq1rk1/p3ppbp/2Bp1np1/8/2P5/2N3P1/PP2PP1P/R1BQ1RK1 w - -,w,1400-1599,1500,b2b3,18,8,1,9,0.4722222222222222,0.6004831708247999,0.509,0.12826094860257764,0.0367777777777778,0.12826094860257764,0.0367777777777778,0.06898267133769488,57
1rbq1rk1/p3ppbp/2Bp1np1/8/2P5/2N3P1/PP2PP1P/R1BQ1RK1 w - -,w,1400-1599,1500,c6g2,28,15,1,12,0.5535714285714286,0.6489877027270383,0.589,0.09541627415560971,0.035428571428571365,0.09541627415560971,0.035428571428571365,0.04811322825173567,51
1rbqkb1r/p2n1ppp/2Q5/4p1N1/8/8/PPPP1PPP/RNB1K2R w KQk -,w,1400-1599,1500,d2d3,16,5,0,11,0.3125,0.6137615287613848,0.3825,0.3012615287613848,0.07,0.3012615287613848,0.07,0.10760845308363809,112
2bq1rk1/rpp2pp1/p1np1n1p/4p3/2B1P3/P1NP1N1P/1PP2PP1/R2Q1RK1 w - -,w,1400-1599,1500,c3d5,26,13,0,13,0.5,0.4820225363489163,0.4745,0.017977463651083714,0.025500000000000023,-0.017977463651083714,-0.025500000000000023,0.14005270194347147,28
2bq1rk1/rpp2pp1/p1np1n1p/4p3/2B1P3/P1NP1N1P/1PP2PP1/R2Q1RK1 w - -,w,1400-1599,1500,f3h2,18,8,2,8,0.5,0.5078313953154949,0.499,0.007831395315494927,0.0010000000000000009,0.007831395315494927,-0.0010000000000000009,0.13226619416159013,63
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,w,1400-1599,1500,d2d3,16,5,0,11,0.3125,0.294555731779709,0.418,0.017944268220290993,0.10549999999999998,-0.017944268220290993,0.10549999999999998,0.19136190039408313,84
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,w,1400-1599,1500,f3e5,51,19,2,30,0.39215686274509803,0.438765616749564,0.4875,0.04660875400446596,0.09534313725490196,0.04660875400446596,0.09534313725490196,0.11645120308265981,69
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,w,1400-1599,1500,f3g5,11,5,1,5,0.5,0.41562345975599835,0.485,0.08437654024400165,0.015000000000000013,-0.08437654024400165,-0.015000000000000013,0.17613292165284292,63
2kr1b1r/ppp2ppp/2n1b3/q5N1/3p4/5N2/PPP2PPP/R1BQR1K1 w - -,w,1400-1599,1500,g5e6,12,3,1,8,0.2916666666666667,0.45866343416047756,0.4975,0.16699676749381087,0.2058333333333333,0.16699676749381087,0.2058333333333333,0.16855339224982935,23
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,w,1400-1599,1500,b1c3,50,21,9,20,0.51,0.5208929524723376,0.4965,0.01089295247233757,0.013500000000000012,0.01089295247233757,-0.013500000000000012,0.1871237193490129,81
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,w,1400-1599,1500,d2d3,100,45,9,46,0.495,0.47444330436648213,0.498,0.020556695633517863,0.0030000000000000027,-0.020556695633517863,0.0030000000000000027,0.19777255890395937,76
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,w,1400-1599,1500,f3g3,15,8,1,6,0.5666666666666667,0.3182628306668607,0.032,0.24840383599980598,0.5346666666666666,-0.24840383599980598,-0.5346666666666666,0.17772291248931488,47
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,w,1400-1599,1500,g2g3,11,4,3,4,0.5,0.2926477419661013,0.497,0.20735225803389867,0.0030000000000000027,-0.20735225803389867,-0.0030000000000000027,0.14548271236490856,35
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,w,1400-1599,1500,h1e1,94,42,11,41,0.5053191489361702,0.5899777400591086,0.495,0.08465859112293839,0.010319148936170253,0.08465859112293839,-0.010319148936170253,0.2108577675899016,71
2kr1bnr/ppp2ppp/8/4p3/4P3/8/PPP2PPP/RNBR2K1 w - -,w,1400-1599,1500,d1d8,153,67,20,66,0.5032679738562091,0.5382764298507902,0.501,0.03500845599458102,0.002267973856209138,0.03500845599458102,-0.002267973856209138,0.26239322969513296,44
2r1kb1r/pp1b1ppp/1qn1p3/3pPn2/1P1P4/P4N2/1B2BPPP/RN1Q1RK1 b k -,b,1400-1599,1500,f8e7,18,12,1,5,0.6944444444444444,0.4182592594396823,0.5,0.27618518500476213,0.19444444444444442,-0.27618518500476213,-0.19444444444444442,0.15344498976722354,46
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,w,1400-1599,1500,c1b1,12,6,1,5,0.5416666666666666,0.4845893791788934,0.0005,0.05707728748777324,0.5411666666666667,-0.05707728748777324,-0.5411666666666667,0.09018606029914679,81
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,w,1400-1599,1500,c4b3,115,72,4,39,0.6434782608695652,0.8078343777494917,0.5875,0.16435611687992657,0.055978260869565144,0.16435611687992657,-0.055978260869565144,0.0681849682977527,67
