fen,rating_bucket,eligible_moves,eligible_observations,empirical_raw_best_moves,empirical_raw_best_score,posterior_best_move,posterior_best_confidence,high_confidence_case,maia_choice,stockfish_choice,maia_and_stockfish_same_choice,maia_raw_top1_correct,stockfish_raw_top1_correct,maia_posterior_top1_correct,stockfish_posterior_top1_correct,maia_choice_probability_best,stockfish_choice_probability_best,maia_posterior_expected_regret,stockfish_posterior_expected_regret,maia_raw_empirical_regret,stockfish_raw_empirical_regret
1rbq1rk1/p3ppbp/2Bp1np1/8/2P5/2N3P1/PP2PP1P/R1BQ1RK1 w - -,1400-1599,2,46,c6g2,0.5535714285714286,c6g2,0.71075,False,c6g2,c6g2,True,True,True,True,True,0.71075,0.71075,0.0250089703076758,0.0250089703076758,0.0,0.0
2bq1rk1/rpp2pp1/p1np1n1p/4p3/2B1P3/P1NP1N1P/1PP2PP1/R2Q1RK1 w - -,1400-1599,2,44,c3d5|f3h2,0.5,c3d5,0.5012,False,f3h2,f3h2,True,True,True,False,False,0.4988,0.4988,0.05510305406630311,0.05510305406630311,0.0,0.0
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,1400-1599,3,78,f3g5,0.5,f3g5,0.70575,False,f3e5,f3e5,True,False,False,False,False,0.1902,0.1902,0.1322668215654479,0.1322668215654479,0.10784313725490197,0.10784313725490197
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,1400-1599,5,270,f3g3,0.5666666666666667,f3g3,0.4618,False,h1e1,d2d3,False,False,False,False,False,0.09885,0.0672,0.11558821508897309,0.12666265630010903,0.061347517730496404,0.07166666666666666
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,1400-1599,3,138,c4b3,0.6434782608695652,c4b3,0.7731,False,c4b3,c4b3,True,True,True,True,True,0.7731,0.7731,0.016188675555258596,0.016188675555258596,0.0,0.0
r1b1k1nr/pppp2pp/5p2/8/8/2B5/PPP1BPPP/R3K2R w KQkq -,1400-1599,3,252,e2h5,0.5740740740740741,e2h5,0.4736,False,e1c1,e1c1,True,False,False,False,False,0.4098,0.4098,0.042498208877408454,0.042498208877408454,0.004221132897603508,0.004221132897603508
r1b1k2r/4qppp/p1np1n2/1p2p1B1/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1400-1599,5,127,f1d3,0.603448275862069,f1d3,0.4777,False,c2c4,c2c3,False,False,False,False,False,0.3242,0.01865,0.07367764140955138,0.2062497268721145,0.02769070010449315,0.16594827586206895
r1b1k2r/p2pqppp/4p3/3pP3/8/8/PPP2PPP/R2QKB1R w KQkq -,1400-1599,4,118,d1d4,0.55,d1d4,0.7186,False,d1g4,d1d4,False,False,True,False,True,0.07015,0.7186,0.24150577037707016,0.02563875997562563,0.24230769230769234,0.0
r1b1k2r/pp1n1ppp/1qn1p3/3pP3/3P4/3B1N2/PP1QNPPP/R3K2R b KQkq -,1400-1599,2,26,b6b4,0.6666666666666666,b6b4,0.9793,True,b6b4,e8g8,False,True,False,True,False,0.9793,0.0207,0.001366189731316336,0.3428172523551854,0.0,0.38095238095238093
r1b1k2r/pp2bppp/1qn1p3/3pP3/1P1P4/P3PN2/6PP/RN1QKB1R w KQkq -,1400-1599,3,63,b1c3,0.782608695652174,b1c3,0.9169,True,f1d3,b1c3,False,False,True,False,True,0.08035,0.9169,0.1765722403868472,0.005105554986621283,0.18260869565217397,0.0
r1b1k2r/pp2bppp/1qn1p3/3pPn2/3P4/P1N2N2/1P2BPPP/R1BQ1RK1 w kq -,1400-1599,4,102,e2b5,0.5689655172413793,e2b5,0.3893,False,c1e3,c3a4,False,False,False,False,False,0.2562,0.3431,0.10160885064281465,0.06685354896912866,0.042649727767695156,0.007989907485281722
r1b1k2r/ppp1bppp/5n2/4p1B1/8/2N5/PPP2PPP/2KR1B1R w - -,1400-1599,4,124,f1c4,0.6333333333333333,f1c4,0.6021,False,c3b5,f1c4,False,False,True,False,True,0.3015,0.6021,0.08687388036336895,0.03189345453127909,0.05438596491228065,0.0
r1b1k2r/ppp2ppp/1bn5/4P3/2B1n3/5N2/PP3PPP/RNBR2K1 w kq -,1400-1599,2,47,c1e3,0.43243243243243246,c1e3,0.7731,False,c1e3,c1e3,True,True,True,True,True,0.7731,0.7731,0.02122521141081007,0.02122521141081007,0.0,0.0
r1b1k2r/pppp1ppp/5n2/8/8/2B5/PPP1BPPP/R3K2R w KQkq -,1400-1599,3,216,e1c1,0.572289156626506,e1c1,0.6499,False,e1c1,e1c1,True,True,True,True,True,0.6499,0.6499,0.016656764860599062,0.016656764860599062,0.0,0.0
r1b1kb1r/p4pp1/2p2n1p/n3N3/3qp3/8/PPPPBPPP/RNBQK2R w KQkq -,1400-1599,3,119,f2f4,0.5666666666666667,f2f4,0.8248,True,f2f4,f2f4,True,True,True,True,True,0.8248,0.8248,0.008896827114318587,0.008896827114318587,0.0,0.0
r1b1kb1r/pp3ppp/1q2p3/3pP3/3n4/2N5/PP2BPPP/R1BQ1RK1 w kq -,1400-1599,2,77,c1e3,0.532258064516129,c1e3,0.98565,True,c1e3,c1e3,True,True,True,True,True,0.98565,0.98565,0.0006410952313346581,0.0006410952313346581,0.0,0.0
