fen,rating_bucket,move_uci,observations,empirical_score,posterior_mean_score,probability_best,maia_expected_score,stockfish_expected_score,is_maia_choice,is_stockfish_choice
1rbq1rk1/p3ppbp/2Bp1np1/8/2P5/2N3P1/PP2PP1P/R1BQ1RK1 w - -,1400-1599,b2b3,18,0.4722222222222222,0.474563972851714,0.28925,0.6004831708247999,0.509,False,False
1rbq1rk1/p3ppbp/2Bp1np1/8/2P5/2N3P1/PP2PP1P/R1BQ1RK1 w - -,1400-1599,c6g2,28,0.5535714285714286,0.55084009397473,0.71075,0.6489877027270383,0.589,True,True
2bq1rk1/rpp2pp1/p1np1n1p/4p3/2B1P3/P1NP1N1P/1PP2PP1/R2Q1RK1 w - -,1400-1599,c3d5,26,0.5,0.49971786563245296,0.5012,0.4820225363489163,0.4745,False,False
2bq1rk1/rpp2pp1/p1np1n1p/4p3/2B1P3/P1NP1N1P/1PP2PP1/R2Q1RK1 w - -,1400-1599,f3h2,18,0.5,0.5000399728347148,0.4988,0.5078313953154949,0.499,True,True
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,1400-1599,d2d3,16,0.3125,0.32843147617572943,0.10405,0.294555731779709,0.418,False,False
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,1400-1599,f3e5,51,0.39215686274509803,0.39529167797890036,0.1902,0.438765616749564,0.4875,True,True
2kr1b1r/1pp2ppp/p1p2n2/8/6b1/5N2/PPPP1PPP/RNB1RK2 w - -,1400-1599,f3g5,11,0.5,0.500704212972477,0.70575,0.41562345975599835,0.485,False,False
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,1400-1599,b1c3,50,0.51,0.5099327984636379,0.14365,0.5208929524723376,0.4965,False,False
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,1400-1599,d2d3,100,0.495,0.4944547686215329,0.0672,0.47444330436648213,0.498,False,True
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,1400-1599,f3g3,15,0.5666666666666667,0.5606186180578533,0.4618,0.3182628306668607,0.032,False,False
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,1400-1599,g2g3,11,0.5,0.5009102708630684,0.2285,0.2926477419661013,0.497,False,False
2kr1bnr/1pp2ppp/p1p5/8/8/5K1P/PPPP1PP1/RNB4R w - -,1400-1599,h1e1,94,0.5053191489361702,0.50552920983267,0.09885,0.5899777400591086,0.495,True,False
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,1400-1599,c1b1,12,0.5416666666666666,0.5379236344515586,0.22085,0.4845893791788934,0.0005,False,False
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,1400-1599,c4b3,115,0.6434782608695652,0.6415332760257169,0.7731,0.8078343777494917,0.5875,True,True
2rq1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -,1400-1599,h2h4,11,0.2727272727272727,0.29936766215216987,0.00605,0.39026377402556184,0.0,False,False
r1b1k1nr/pppp2pp/5p2/8/8/2B5/PPP1BPPP/R3K2R w KQkq -,1400-1599,e1c1,136,0.5698529411764706,0.5689767179693223,0.4098,0.7881237305630256,0.5405,True,True
r1b1k1nr/pppp2pp/5p2/8/8/2B5/PPP1BPPP/R3K2R w KQkq -,1400-1599,e1g1,89,0.5224719101123596,0.5222265255432644,0.1166,0.6575619366865236,0.4985,False,False
r1b1k1nr/pppp2pp/5p2/8/8/2B5/PPP1BPPP/R3K2R w KQkq -,1400-1599,e2h5,27,0.5740740740740741,0.5701492929968573,0.4736,0.5644265907287264,0.5045,False,False
r1b1k2r/4qppp/p1np1n2/1p2p1B1/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1400-1599,c2c3,40,0.4375,0.44025902046667353,0.01865,0.37665082850575315,0.512,False,True
r1b1k2r/4qppp/p1np1n2/1p2p1B1/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1400-1599,c2c4,33,0.5757575757575758,0.5728311059292381,0.3242,0.5607830518939368,0.5095,True,False
r1b1k2r/4qppp/p1np1n2/1p2p1B1/4P3/N7/PPP2PPP/R2QKB1R w KQkq -,1400-1599,d1d2,10,0.4,0.4129404133793911,0.06785,0.37566084211006656,0.4925,False,False
