rating_bucket,model,groups,raw_top1_accuracy,posterior_top1_accuracy,mean_probability_choice_is_best,mean_posterior_expected_regret,mean_raw_empirical_regret,high_confidence_groups,high_confidence_accuracy
1400-1599,Maia simulation,174,0.4482758620689655,0.4367816091954023,0.41321551724137934,0.0974257888690727,0.0731194997969361,43,0.6046511627906976
1400-1599,Stockfish WDL,174,0.41379310344827586,0.40804597701149425,0.4042278735632183,0.09964899601912353,0.07590343984684769,43,0.6511627906976745
1600-1799,Maia simulation,385,0.38701298701298703,0.38181818181818183,0.36514155844155843,0.10221113871429108,0.0774384440216195,91,0.5494505494505495
1600-1799,Stockfish WDL,385,0.34285714285714286,0.34025974025974026,0.34942220779220784,0.10598247377543861,0.08146605043591432,91,0.5384615384615384
1800-1999,Maia simulation,429,0.3916083916083916,0.3916083916083916,0.3691399766899766,0.09310126546142894,0.06888142939700322,106,0.5660377358490566
1800-1999,Stockfish WDL,429,0.3916083916083916,0.36596736596736595,0.3621645687645688,0.09140738122016465,0.06707797719628004,106,0.5094339622641509
2000-2199,Maia simulation,327,0.3944954128440367,0.38837920489296635,0.39765917431192666,0.08702754438237807,0.0654434715012115,101,0.5148514851485149
2000-2199,Stockfish WDL,327,0.4036697247706422,0.38837920489296635,0.3870417431192661,0.0892180971637128,0.06795170931551124,101,0.48514851485148514
2200-2399,Maia simulation,131,0.44274809160305345,0.42748091603053434,0.42222671755725194,0.08956180145779127,0.07192694072288865,51,0.45098039215686275
2200-2399,Stockfish WDL,131,0.5114503816793893,0.4961832061068702,0.4463335877862596,0.08716777174068525,0.06881952110082525,51,0.5294117647058824
